Aafrika	Afrika
Shmu'el Yosef Agnon	Samuel Josef Agnon
Urbanus V	Urban V
Sylvia Plath	Sylvia Plath
Mäekuru	Fjellpass
Verhojansk	Verkhojansk
Willem Barents	Willem Barents
Vesjegonsk	Vesjegonsk
Gregorius VII	Gregor VII
Mosaiik	Mosaikk
Vetluga	Vetluga (by)
Vidnoje	Vidnoje
Song	Brokk
Suhtekorraldus	Informasjon og samfunnskontakt
Gauteng	Gauteng
Innocentius XIII	Innocens XIII
Vitšuga	Vitsjuga
Clemens XII	Klemens XII
Lucy Lawless	Lucy Lawless
Clemens XIII	Klemens XIII
Pátra	Patras
Harilik mänd	Furu
Elektromagnetspekter	Elektromagnetisk spekter
Atsetüleen	Acetylen
Loki	Loke
Ozzy Osbourne	Ozzy Osbourne
Koloonia	Koloni
Pritzkeri auhind	Pritzker Architecture Prize
Löökpillid	Slagverkinstrument
Volgodonsk	Volgodonsk
Kährik	Mårhund
Ja, vi elsker dette landet	Ja, vi elsker dette landet
Squash	Squash (sport)
Moslemi Vennaskond	Det muslimske brorskapet
Kasiino	Kasino
Sonar	Sonar
Clinton Davisson	Clinton Davisson
Mitoos	Mitose
Gabriel Lippmann	Gabriel Lippmann
Põlemine	Forbrenning
Jada	Følge (matematikk)
Bulgaarlased	Bulgarere
Du gamla, Du fria	Du gamla, du fria
Lev Landau	Lev Landau
Moskva Kreml	Kreml (Moskva)
Selg	Rygg (anatomi)
Porss (perekond)	Porsslekten
Volžsk	Volzjsk
Vuktõl	Vuktyl
Muḩammad al-Barāda‘ī	Mohamed ElBaradei
Jake Gyllenhaal	Jake Gyllenhaal
Limerick	Limerick
Marat Safin	Marat Safin
F-22 Raptor	Lockheed Martin F-22 Raptor
I Nikaia kirikukogu	Konsilet i Nikea
Solon	Solon
Hathor	Hathor
Sixtus V	Sixtus V
Ukraina NSV	Den ukrainske sosialistiske sovjetrepublikk
Satanism	Satanisme
Charles VII	Karl VII av Frankrike
Jan Peter Balkenende	Jan Peter Balkenende
Knesset	Knesset
Bee Gees	Bee Gees
Volsk	Volsk
Kuningate org	Kongenes dal
.pm	.pm
Linnriik	Bystat
Kõrglahutusega televisioon	High Definition TV
Harakiri	Seppuku
Copyleft	Copyleft
Kamtšatka jõgi	Kamtsjatka (elv)
Rabi	Rabbiner
Kiri (sõnum)	Brev
Õppimine	Læring
Eelija	Elia
Monosahhariidid	Enkle sukkerarter
Pekingi Rahvusstaadion	Beijings nasjonalstadion
Vorkuta	Vorkuta
Pimendipuu	Pimenta (botanikk)
John Logie Baird	John Logie Baird
Ashley Cole	Ashley Cole
San Siro	San Siro
Altamira	Altamira
Banksy	Banksy
Karolingid	Karolingerne
Pärislehtsamblad	Egentlige bladmoser
George Stephenson	George Stephenson (ingeniør)
Thor Heyerdahl	Thor Heyerdahl
Suured maadeavastused	Oppdagelsestiden
Spinn	Spinn
Howard Carter	Howard Carter
Värvipimedus	Fargeblindhet
Püha Martin	Martin av Tours
Paljasseemnetaimed	Nakenfrøede planter
Lars von Trier	Lars von Trier
Ilmari Salminen	Ilmari Salminen
Karbon	Karbon (geologi)
Kaaries	Karies
Katk	Pest
Gloobus	Globus
Epidemioloogia	Epidemiologi
Migreen	Migrene
Voskressensk	Voskresensk
Kruus	Grus
Votkinsk	Votkinsk
Barry maakond	Barry County (Michigan)
Guillaume Apollinaire	Guillaume Apollinaire
BitTorrent	BitTorrent
Normaaljaotus	Normalfordeling
Fukui prefektuur	Fukui (prefektur)
Ashmore ja Cartier	Ashmore og Cartierøyene
Tsitraaditsükkel	Sitronsyresyklus
Difraktsioon	Diffraksjon
Ōita prefektuur	Ōita (prefektur)
Tottori prefektuur	Tottori (prefektur)
Antioksüdant	Antioksidant
Illuminaadid	Illuminatus-ordenen
WiMAX	WiMax
Hemofiilia	Hemofili
Surikaat	Surikat
Neitsi (märk)	Jomfruen (stjernetegn)
Nawaz Sharif	Nawaz Sharif
Kōchi prefektuur	Kōchi (prefektur)
Merapi	Merapi
Aba	Aba
Austerlitzi lahing	Slaget ved Austerlitz
Melville'i saar	Melvilleøya (Canada)
Namur	Namur (by)
Knud Suur	Knut II av Danmark
Abu Simbeli templid	Abu Simbel
Popkunst	Popkunst
Amatsoonid	Amasoner
Aktsiaselts	Aksjeselskap
Oscar Niemeyer	Oscar Niemeyer
Maavitsalised	Søtvierfamilien
Truman Capote	Truman Capote
Võšni Volotšok	Vysjnij Volotsjok
Magic Johnson	Magic Johnson
Durian	Durian
Plotinos	Plotin
Butaan	Butan
Fresko	Freskomaleri
1966. aasta jalgpalli maailmameistrivõistlused	VM i fotball 1966
Hambahari	Tannbørste
Polo	Polo
Kama	Kama (mat)
Polüsahhariidid	Polysakkarid
Ardabīli provints	Ardabil (provins)
Jonas Brothers	Jonas Brothers
Ruutjuur	Kvadratrot
Rotterdami Feyenoord	Feyenoord Rotterdam
Araabia Ühendemiraatide lipp	De forente arabiske emiraters flagg
Burkina Faso lipp	Burkina Fasos flagg
Górnik Zabrze	Górnik Zabrze
Louis VII	Ludvig VII av Frankrike
Tennessee Williams	Tennessee Williams
Vars	Stengel
Helios	Helios
Lugansk	Luhansk
Harilik pune	Bergmynte
Dharma	Dharma
Katõni massimõrv	Katyn-massakren
Vjatskije Poljanõ	Vjatskije Poljany
Charles IX	Karl IX av Frankrike
Barbarid	Barbar
Gavrilov-Jam	Gavrilov-Jam
Gagarin	Gagarin (by)
Roger Moore	Roger Moore
Urbanus VII	Urban VII
Tisza	Tisza
Gai	Gaj
Kurdistani provints	Kurdistan (provins)
Saturnus	Saturn (gud)
Kaalud (märk)	Vekten (stjernetegn)
Oudova	Gdov
Skorpion (märk)	Skorpionen (stjernetegn)
Lääne-Aserbaidžaan	Vest-Aserbajdsjan
Daodejing	Daodejing
Lumivalgeke ja seitse pöialpoissi	Snehvit og de syv dvergene
Glazov	Glazov
Topograafia	Topografi
Tuumaelektrijaam	Atomkraftverk
Charles VIII	Karl VIII av Frankrike
Yukio Mishima	Yukio Mishima
Flavius Josephus	Josefus
Gravitatsiooniseadus	Newtons gravitasjonslov
Ajax	Ajax (programmering)
Horvaatia jalgpallikoondis	Kroatias herrelandslag i fotball
Balkaši järv	Balkhasjsjøen
Győr	Győr
Port Said	Port Said
Suess	Suez
Gorodovikovsk	Gorodovikovsk
Bhutani lipp	Bhutans flagg
Edward Kennedy	Edward Kennedy
Transliteratsioon	Translitterasjon
Singel	Singel (musikk)
Vöö	Belte
Pump	Pumpe
Talk	Talk
Nicolaus V	Nikolas V
Jyväskylä linn	Jyväskylä
Tolmlemine	Pollinering
Filipiinide lipp	Filippinenes flagg
Saitama	Saitama (Saitama)
Erik Axel Karlfeldt	Erik Axel Karlfeldt
Vicente Aleixandre	Vicente Aleixandre
Bonifatius VIII	Bonifatius VIII
Difteeria	Difteri
Hino Nacional Brasileiro	Hino Nacional Brasileiro
B3-vitamiin	Niacin
George Boole	George Boole
Stephanus I	Stefan I (pave)
Grjazovets	Grjazovets
Exeter	Exeter
Bayonne	Bayonne
Geta vald	Geta (Åland)
Gubkin	Gubkin
Anastasius I (paavst)	Anastasius I (pave)
Hammarlandi vald	Hammarland
Felix I	Felix I
Diapsiidid	Diapsider
Gudermess	Gudermes
Innocentius I	Innocens I
Bastia	Bastia
Gukovo	Gukovo
Messina väin	Messinastredet
Gurjevsk	Gurjevsk (Kaliningrad oblast)
Šiauliai	Šiauliai
Martina Hingis	Martina Hingis
Guss-Hrustalnõi	Gus-Khrustalnyj
Aadel	Adel
Camille Pissarro	Camille Pissarro
Saint Lawrence'i jõgi	St. Lawrence (elv)
Daidalos	Daidalos
Elat	Eilat
Kokteil	Cocktail
Danilov	Danilov
Stratigraafia	Stratigrafi
Dedovsk	Dedovsk
Analüütiline geomeetria	Analytisk geometri
Haruki Murakami	Haruki Murakami
Abdülhamit II	Abd-ul-Hamid II
Prefiks	Prefiks
Verduni leping	Traktaten i Verdun
Isadepäev	Farsdag
Mandrilava	Kontinentalsokkel
Karboksüülhapped	Karboksylsyre
Šampanja	Champagne
Boliivia lipp	Bolivias flagg
CN Tower	CN Tower
Tai lipp	Thailands flagg
Stoke-on-Trent	Stoke-on-Trent
Fraseri saar	Fraser Island
Limpopo provints	Limpopo (provins)
Võrgendehmeslased	Polycentropodidae
Uruguay jalgpallikoondis	Uruguays herrelandslag i fotball
Käokõrv	Kruslav
Kitsehernes	Geitvikkeslekten
Lottsuru	Humlesvermere
Kreeka jalgpallikoondis	Hellas' herrelandslag i fotball
Pindaros	Pindar
Neolamprologus brichardi	Prinsessen av Burundi (fisk)
Senegali lipp	Senegals flagg
Ketšuad	Quechuafolket
Süljenäärmed	Spyttkjertel
William Somerset Maugham	William Somerset Maugham
Talvesõda	Vinterkrigen
Kaksteistsõrmiksool	Tolvfingertarm
Tarass Ševtšenko	Taras Sjevtsjenko
R.E.M.	R.E.M.
Lukas Podolski	Lukas Podolski
Topaas	Topas
Hippokratese vanne	Den hippokratiske ed
Bibliograafia	Bibliografi
Sõjakuritegu	Krigsforbrytelse
Gambia lipp	Gambias flagg
Antigua ja Barbuda lipp	Antigua og Barbudas flagg
Paul Crutzen	Paul J. Crutzen
Lõunatsuuga (perekond)	Nothotsuga
Dzeržinski (Venemaa)	Dzerzjinskij
Digora	Digora
Dimitrovgrad	Dimitrovgrad (Russland)
Bihaari keel	Bihari
Gabriel Agbonlahor	Gabriel Agbonlahor
Dno	Dno (by)
Dolgoprudnõi	Dolgoprudnyj
Domodedovo	Domodedovo (by)
Donskoi	Donskoj (by)
Ilmikvend	Lekbror
Drezna	Drezna
Dubna	Dubna
Dudinka	Dudinka
Laurent-Désiré Kabila	Laurent-Désiré Kabila
Djatkovo	Djatkovo
Jegorjevsk	Jegorjevsk
Samblikuvaksiklased	Ennominae
Jeisk	Jejsk
Google Translate	Google Oversetter
Jelabuga	Jelabuga
Jemva	Jemva
Troopiline kliima	Tropisk klima
Galveston	Galveston
Jessentuki	Jessentuki
Železnogorsk (Krasnojarsk)	Zjeleznogorsk (Krasnojarsk kraj)
Železnodorožnõi	Zjeleznodorozjnyj (Moskva oblast)
Cuba Gooding noorem	Cuba Gooding jr.
Žukovka	Zjukovka
Žukovski	Zjukovskij
Amazon Kindle	Amazon Kindle
Zainsk	Zainsk
ZZ Top	ZZ Top
Zapadnaja Dvina	Zapadnaja Dvina
¡Dos!	¡Dos!
Albaania riigipeade loend	Liste over Albanias presidenter
Tommy Hilfiger	Tommy Hilfiger
Zaraisk	Zarajsk
Geographic Names Information System	Geographic Names Information System
Tõmmukoilased	Dråpemøll
LG Group	LG
Zvenigovo	Zvenigovo
Andre Iguodala	Andre Iguodala
Zvenigorod	Zvenigorod
Zverevo (Rostovi oblast)	Zverevo
Jääkeegel	Curling
Interferents	Interferens
Nat King Cole	Nat King Cole
Korrosioon	Korrosjon
Puritaan	Puritanisme
Aleviidid	Alevisme
Kota Kinabalu	Kota Kinabalu
NBA tähtede mäng	NBA All-Star-kamp
Kalamazoo maakond	Kalamazoo County
Albany (täpsustus)	Albany
Isobaariline protsess	Isobar prosess
DAF	DAF
Washtenaw' maakond	Washtenaw County
Michael Keaton	Michael Keaton
Park Geun-hye	Park Geun-hye
Alexandre Pato	Alexandre Pato
Philadelphia 76ers	Philadelphia 76ers
Kuuenda koalitsiooni sõda	Den sjette koalisjonskrigen
Radamel Falcao	Radamel Falcao
Pjotr Stolõpin	Pjotr Stolypin
Ohranka	Okhrana
Princeton	Princeton
Harivesilik	Storsalamander
Beatrice Arthur	Bea Arthur
2012.–2013. aasta maailma karikasari murdmaasuusatamises	Verdenscupen i langrenn 2012/13
Ideogramm	Ideogram
Ө	Ө
Ehrlichia	Ehrlichia
Montanism	Montanisme
Valtteri Bottas	Valtteri Bottas
Ikoon (infotehnoloogia)	Ikon (data)
Soo-Ann Han	Han Su-an
Nelson Prudêncio	Nelson Prudêncio
Moskva Suur Teater	Bolsjojteateret
JYSK	JYSK
Kuraare	Curare
Force India	Force India
Kampol	Kolofonium
Lancasteri maakond	Lancaster County
Mikaela Shiffrin	Mikaela Shiffrin
Zābuli provints	Zabol (provins)
Zacatecas	Zacatecas (by)
Trần Đức Lương	Tran Duc Luong
Maadleja (film)	The Wrestler
Zach Braff	Zach Braff
Zacharias Topelius	Zacharias Topelius
Clodovil Hernandes	Clodovil Hernandes
Atlantic City	Atlantic City
David Copperfield	David Copperfield (illusjonist)
Armeenia Vabariik (1918-1920)	Den demokratiske republikken Armenia
Fanny Kaplan	Fanny Kaplan
Zelenodolsk	Zelenodolsk (Russland)
Katalaunia lahing	Slaget ved Chalons
Zernograd	Zernograd
Keflavíki rahvusvaheline lennujaam	Keflavík internasjonale lufthavn
Tšiili hanemalts	Quinoa
ROM	Rom
Eris	Eris (gudinne)
Vaba langemine	Fritt fall
Gold Coast	Gold Coast
Hvannadalshnjúkur	Hvannadalshnjúkur
Zlatoust	Zlatoust
Zlõnka	Zlynka
Eesti 2008. aasta suveolümpiamängudel	Estland under Sommer-OL 2008
Brest (Valgevene)	Brest (Hviterussland)
James Scott, Monmouthi hertsog	James Scott, 1. hertug av Monmouth
Messerschmitt Me 262	Messerschmitt Me 262
Tuulepealne väin	Windwardpassasjen
Tuulepealsed saared (Okeaania)	Îles du Vent
Az-Zaqāzīq	Zaqaziq
Kujundujumine 2008. aasta suveolümpiamängudel	Synkronsvømming under Sommer-OL 2008
Russiinid	Rutenere
Kolm musketäri	De tre musketerer
Tokaata	Toccata
Bassein	Vaskeservant
Nadia Boulanger	Nadia Boulanger
Kedrikvaksik	Biston
Alexis de Tocqueville	Alexis de Tocqueville
Numeroloogia	Tallsymbolikk
Maksevalmidus	Betalingsvillighet
Maksebilanss	Betalingsbalanse
1566 Icarus	1566 Icarus
Varjutus	Formørkelse
Klaipėda rajoon	Klaipeda landkommune
E-vitamiin	Vitamin E
Znamensk	Znamensk
Mosfilm	Mosfilm
Zubtsov	Zubtsov
Sebastian Kehl	Sebastian Kehl
Ljubertsõ	Ljubertsy
420 (jahiklass)	420 (jolle)
Ivdel	Ivdel (by)
Igarka	Igarka
Izberbaš	Izberbasj
Lemmalts	Springfrøslekten
Marguerite'i laht	Marguerite Bay
Inza	Inza
Scuderia Toro Rosso	Scuderia Toro Rosso
Lavrenti Beria	Lavrentij Berija
Koot	Sliul
Nikolai Ježov	Nikolaj Jezjov
Genrihh Jagoda	Genrikh Yagoda
Dresdeni Dynamo	SG Dynamo Dresden
Insar	Insar (by)
Mihhail Tuhhatševski	Mikhail Tukhatsjevskij
Kâmpóng Chami provints	Kampong Cham (provins)
Abrasiivpaber	Sandpapir
Edmund Leighton	Edmund Blair Leighton
GBIC	GBIC
Beni jõgi	Beni (elv)
Stjerneborg	Stjerneborg
Pearl Jam	Pearl Jam
Kaardimäng	Kortspill
Neymar	Neymar
Hérault' departemangu haldusüksuste loend	Kommuner i departementet Hérault
Indoneesia vapp	Indonesias riksvåpen
Sergios I	Sergios I av Konstantinopel
André Myhrer	André Myhrer
Inta	Inta
Eusebios Kaisareast	Eusebius av Cæsarea
Johannes Ockeghem	Johannes Ockeghem
Irbit	Irbit
Geenivool	Genflyt
Josquin des Prez	Josquin des Prez
Malai-Polüneesia keeled	Malayopolynesiske språk
Tabulatuur	Tabulatur
Kuningas Williami saar	Qikiqtaq
Polütetrafluoroetüleen	Polytetrafluoreten
Iskitim	Iskitim
Musträhn	Svartspett
Istra	Istra (by)
Metskiur	Trepiplerke
Teib	Gullbust
Išim	Isjim (by)
Išimbai	Isjimbaj
Polüeteen	Polyeten
Alabaster	Alabast
Araabia maad	Den arabiske verden
Bergmanni reegel	Bergmanns regel
Drake'i väin	Drakestredet
Ida-Grööni hoovus	Østre Grønlandstrømmen
Käopäkk	Skjellrotslekta
Kaltan	Kaltan
Mesilasvaha	Bivoks
Kaljazin	Kaljazin
Kambarka	Kambarka
Hammasratas	Tannhjul
Nitrotselluloosid	Nitrocellulose
Hammasrataspump	Tannhjulspumpe
Võidukaar	Triumfbue
Falklandi hoovus	Falklandstrømmen
Carla Bruni	Carla Bruni
Hambaniit	Tanntråd
Epoksüvaigud	Epoxy
Kamensk-Šahtinski	Kamensk-Sjakhtinskij
Rafael Benítez	Rafael Benítez
Hüsteeria	Hysteri
Hammasvaalalised	Tannhvaler
Kamõšin	Kamysjin
Kamõšlov	Kamysjlov
Kanaš	Kanasj
Kandalakša	Kandalaksja
Dániel Gyurta	Dániel Gyurta
Kansk	Kansk
Laheda vald	Laheda kommune
Varssavi Ülikool	Universitetet i Warszawa
Säinas	Vederbuk
Latikas	Brasme
Herbert Spencer	Herbert Spencer
Ex officio	Ex officio
IBAN	IBAN
Phil Collins	Phil Collins
Emajuur	Storsøteslekta
Luts	Lake
Idaslaavi keeled	Østslaviske språk
Vareskold	Jamneslekten
Magunalised	Valmuefamilien
Saksa DV Riikliku Julgeoleku Ministeeriumi Esimene peavalitsus	Hauptverwaltung Aufklärung
Zakk Wylde	Zakk Wylde
Yaḩyá Gol-Moḩammadī	Yahya Golmohammadi
Zakopane	Zakopane
Hernes (perekond)	Erteslekta
Kieli kanal	Kielkanalen
Zákynthose saar	Zakynthos
Päikesekaru	Malayabjørn
Traaklased	Trakere
Banská Bystrica	Banská Bystrica
Trenčín	Trenčín
Ljudmõla Pavlitšenko	Ljudmila Pavlitsjenko
Karatšajevsk	Karatsjajevsk
Tsalka	Tsalka
Suur Victoria kõrb	Victoriaørkenen
Zalmay Khalilzad	Zalmay Khalilzad
Kargopol	Kargopol
Acheng	Acheng
Polüamiid	Polyamid
Bint Jubayl	Bint Jbeil
Arapaima	Arapaima gigas
Kassimov	Kasimov
Kaspiisk	Kaspijsk
ScummVM	ScummVM
Daativ	Dativ
Kašin	Kasjin
Molaarmass	Molar masse
Kašira	Kasjira
Mandžud	Mandsjuer
Apenniini poolsaar	Appenninerhalvøya
Kemi (Karjala)	Kem
Joosep	Josef (stamfar)
Kassitapulised	Vindelfamilien
Zamfara osariik	Zamfara
Sarikalised	Skjermplantefamilien
Kiziljurt	Kiziljurt
Kizljar	Kizljar
Nadiir	Nadir
Tulikalised	Soleiefamilien
Sarapuu (perekond)	Hasselslekten
Egüptoloogia	Egyptologi
Opotška	Opotsjka
Kaun	Belgfrukt
Harilik saialill	Ringblom
Hall nulg	Coloradoedelgran
Must mänd	Svartfuru
Zamość	Zamość
Pöögilised	Bøkefamilien
Harilik kuusk	Gran
Štšigrõ	Sjtsjigry
Rumeelia mänd	Silkefuru
Torkav kuusk	Blågran
One Direction	One Direction
Ruudilised	Rutefamilien
Küpressilised	Sypressfamilien
Euroopa lehis	Europalerk
Koer-kibuvits	Steinnype
Kannike	Fiolslekten
Sehmet	Sekhmet
Harilik haab	Osp
Tulikas	Soleieslekta
Harilik paakspuu	Trollhegg
Põhjamaade Nõukogu	Nordisk råd
Maapirn	Jordskokk
Harilik pihlakas	Rogn
Kapsas	Kål
Ulmikulised	Flettemosefamilien
Polüstüreen	Polystyren
Frangi riik	Frankerriket
Pikktiib-kimalane	Taigahumle
Keviklased	Nemouridae
Protanguilla palau	Protanguilla palau
Sobek	Sobek
Veszprém	Veszprém
Ptah	Ptah
Liberec	Liberec
Polüvinüülkloriid	Polyvinylklorid
Harilik kärnkonn	Nordpadde
Magun	Valmueslekta
Kollane vesikupp	Gul nøkkerose
Kimrõ	Kimry
Kanada ilves	Kanadisk gaupe
Brändi	Brandy
Domeen (bioloogia)	Domene (biologi)
Kriminaalõigus	Strafferett
Stjepan Mesić	Stjepan Mesić
Lahusti	Løsemiddel
Krzeszowice	Krzeszowice
Sorbid	Sorbere
Hiiumaa	Hiiumaa
Maavits (perekond)	Søtvierslekten
Piimalill	Vortemelkslekta
Ahtalehine hundinui	Smal dunkjevle
Must sõstar	Solbær
Vesiroos	Hvite nøkkeroser
Koha	Gjørs
Suurringjoon	Storsirkel
Punane sõstar	Hagerips
Metsmaasikas	Markjordbær
Phú Quốc	Phú Quốc
Illüürlased	Illyrere
Kisangani	Kisangani
Vesiratas	Vannhjul
Koptid	Koptere
Mitmus	Pluralis
Aomori	Aomori (Aomori)
Malbork	Malbork
Ellesmere	Ellesmereøya
Wembley	Wembley
Allofoon	Allofon
Tangid	Tang (redskap)
Huulhäälik	Bilabialer
Ḩusayn (Jordaania)	Hussein av Jordan
Küpress	Sypresslekten
Thot	Tot
Limes	Limes
Sinikas	Blokkebær
Euroopa nulg	Vanlig edelgran
I Am... Sasha Fierce	I Am… Sasha Fierce
Valge vesiroos	Hvit nøkkerose
Dragan Đokanović	Dragan Đokanović
Kanada jäähokimeeskond 2006. aasta taliolümpiamängudel	Canada under Vinter-OL 2006
Eesti 2012. aasta suveolümpiamängudel	Estland under Sommer-OL 2012
Must pappel	Svartpoppel
Harilik kurgirohi	Agurkurt
Emma Stone	Emma Stone
Pomerantsipuu	Pomerans
Pojeng	Peoner
Vokaalharmoonia	Vokalharmoni
Lõosilm	Forglemmegei
Harilik hiirehernes	Fuglevikke
Harilik angervaks	Mjødurt
Harilik varsakabi	Bekkeblom
Xiamen Airlines	Xiamen Airlines
Kuidas ma kohtasin teie ema	How I Met Your Mother
Kašuubid	Kasjubere
Elupuu	Tujaslekten
Alpi seedermänd	Cembrafuru
Alpikann	Alpefiolslekten
Kolvikesed	Tapper
Jürilill	Engkarseslekta
Suur Hiina tasandik	Den nordkinesiske slette
Kassinaeris	Kattoster
Hiirehernes	Vikkeslekta
Tähk	Aks
Viktor Zubkov	Viktor Zubkov
Sitka kuusk	Sitkagran
Hiigelnulg	Kjempeedelgran
Jaapani lehis	Japanlerk
Harilik elupuu	Østamerikansk tuja
Mägimänd	Buskfuru
Künnapuu	Vrangalm
Harilik jalakas	Alm
Maagiline realism	Magisk realisme
Laialehine hundinui	Bred dunkjevle
Punane tamm	Rødeik
Rüüsvili	Hjelpefrukt
Kaar	Bue (geometri)
Yang Liwei	Yang Liwei
Kolo Touré	Kolo Touré
Tunnetusteadus	Kognitiv vitenskap
Zara Phillips	Zara Phillips
Harilik maavits	Slyngsøtvier
Izmajil	Izmail
Hassavjurt	Khasavjurt
Karukell	Kubjelleslekta
Kupar	Kapsel (botanikk)
Komi Vabariigi lipp	Republikken Komis flagg
Anna Karenina	Anna Karenina
Ebaküpress	Dvergsypresslekten
Kukkur (botaanika)	Belgkapsel
Harrachov	Harrachov
Serbia kuusk	Serbergran
Harilik metsvits	Fredløs
9K38 Igla	9K38 Igla
Harilik äiakas	Klinte
Harilik türnpuu	Geitved
Polyphaga	Polyphaga
Ehmes-pehmekoor	Cantharis nigricans
Triton	Triton (gresk mytologi)
Sammalloomad	Mosdyr
Edgar Rice Burroughs	Edgar Rice Burroughs
Bóbr	Bóbr
Planetaarium	Planetarium
Sidrunmeliss	Sitronmelisse
Flores	Flores (Indonesia)
Mustkunst	Trylling
Jean-François Millet	Jean-François Millet
Olev kääne	Essiv
Camille Corot	Jean-Baptiste Camille Corot
Brandenburgi mark	Markgrevskapet Brandenburg
Wolin	Wolin
Sigimik	Fruktknute
Kõdrake	Skulpe
Firenze Vabariik	Den florentinske republikk
Pikaokkaline mänd	Sumpfuru
Varsakabi (perekond)	Caltha
Aed-hiirehernes	Gjerdevikke
Tara	Gjerde
Kivisisalik	Sandfirfisle
Madar	Maureslekta
Kuningas Oidipus	Kong Oidipus
Vesiroosilised	Nøkkerosefamilien
Indiana Jones	Indiana Jones
Valge ristik	Hvitkløver
Kahekojaline taim	Særbu
Mansardkorrus	Mansardtak
Mainland (Orkney)	Mainland (Orknøyene)
Kurk (perekond)	Agurkslekta
The Beyoncé Experience Live	The Beyoncé Experience Live
Arukuklane	Rød skogsmaur
Hundinuialised	Dunkjevleslekta
Polis	Polis
Assimilatsioon	Assimilasjon (lingvistikk)
Bruno Schulz	Bruno Schulz
Taevameridiaan	Meridian (astronomi)
Kaukaasia nulg	Nordmannsedelgran
Aas-karukell	Kubjelle (plante)
Salv (relva osa)	Våpenmagasin
Rhön	Rhön
Lehtpuud	Løvtrær
Triloogia	Trilogi
243 Ida	243 Ida
З	З
Grand Theft Auto III	Grand Theft Auto III
Patrick Buchanan	Pat Buchanan
Mossi metallitööstus	Moss Jernverk
Pöörijoon	Vendekretsene
Herpesviridae	Herpesvirus
Soo-piimalill	Strandvortemelk
Kevad-karukell	Mogop
Novell	Kortroman
Organisatsiooniteooria	Organisasjonsteori
Viilkatus	Saltak
Ringkond	Gu (forvaltningsenhet)
Cockfosters	Cockfosters
Fayşal II	Fayṣal II av Irak
Helikassett	Musikkassett
Mammutipuu	Mammuttre
Koer (perekond)	Hundeslekten
Sidesatelliit	Kommunikasjonssatellitt
Esmeraldas	Esmeraldas (Ecuador)
Mikojan-Gurevitš MiG-31	Mikojan-Gurevitsj MiG-31
Ühekojaline taim	Sambu
Jamuna	Jamuna
Mihhail Fradkov	Mikhail Fradkov
Saab 39 Gripen	Saab 39 Gripen
Vojevoodkond	Polens voivodskap
Bloomsbury	Bloomsbury (London)
Ranniksekvoia	Kystsequoia
Bokserite ülestõus	Bokseropprøret
David de Gea	David de Gea
Nkosazana Dlamini-Zuma	Nkosazana Dlamini-Zuma
Otakar II	Ottokar II av Böhmen
Florese meri	Floressjøen
Burgundid	Burgundere
Sarrus	Armering
Pentaan	Pentan
Heksaan	Heksan
Camille Saint-Saëns	Camille Saint-Saëns
Ürt-allikkerss	Brønnkarse
Rooskapsas	Rosenkål
E. T. A. Hoffmann	E.T.A. Hoffmann
J. K. Simmons	J.K. Simmons
Ivica Olić	Ivica Olić
Leopold I	Leopold I av Det tysk-romerske rike
Otto II (Saksa-Rooma keiser)	Otto II av Det tysk-romerske rike
Santiago Ramón y Cajal	Santiago Ramón y Cajal
Alexander Dubček	Alexander Dubček
Franz von Papen	Franz von Papen
Ferdinand III	Ferdinand III av Det tysk-romerske rike
Rudolf II	Rudolf II av Det tysk-romerske rike
Ferdinand II	Ferdinand II av Det tysk-romerske rike
Mikojan-Gurevitš MiG-21	Mikojan-Gurevitsj MiG-21
Ferdinand I (Saksa-Rooma keiser)	Ferdinand I av Det tysk-romerske rike
Heinrich I (Saksa kuningas)	Henrik I av Sachsen
Camillo Golgi	Camillo Golgi
Vittorio Emanuele III	Viktor Emmanuel III av Italia
George Carlin	George Carlin
Wilhelm I	Vilhelm I av Tyskland
Gérard Philipe	Gérard Philipe
Karl VI	Karl VI av Det tysk-romerske rike
Heptaan	Heptan
Anthonis van Dyck	Anthonis van Dyck
Oktaan	Oktan
Nonaan	Nonan
Hispaania pärilussõda	Den spanske arvefølgekrigen
Karl Paks	Karl den tykke
Maximilian I (Saksa-Rooma keiser)	Maximilian I av Det tysk-romerske rike
Lothar I (Frangi keiser)	Lothar I av Det tysk-romerske rike
Wilhelmina	Wilhelmina av Nederland
Enigma	Enigma (krypteringsmaskin)
Benjamin Britten	Benjamin Britten
Elisabeth (Austria-Ungari)	Elisabeth av Bayern (østerriksk keiserinne)
