Àfrica	Afrika
Shichinin no Samurai	De syv samuraier
Governació de Dohuk	Dahuk (provins)
Stefan Edberg	Stefan Edberg
Adolphe Adam	Adolphe Adam
Zengita	Zangidene
Marcia Cross	Marcia Cross
Jònic	Jonisk søyleorden
Imad al-Din Zengi I	Zengi
William Crookes	William Crookes
Otorinolaringologia	Øre-nese-hals
Katherine Heigl	Katherine Heigl
Escut de Suïssa	Sveits' riksvåpen
Narcolèpsia	Narkolepsi
Fullmetal Alchemist	Fullmetal Alchemist
Pierre Teilhard de Chardin	Pierre Teilhard de Chardin
Morter (construcció)	Mørtel
Additiu alimentari	Tilsetningsstoff (næringsmidler)
Kharigisme	Kharijitter
Eurocopa 2016	EM i fotball 2016
Regla d'Or	Den gyldne regel
Ion Iliescu	Ion Iliescu
Acromegàlia	Akromegali
Narmer	Narmer
Bobby Robson	Bobby Robson
Càncer d'estómac	Magekreft
Escut d'Eslovàquia	Slovakias riksvåpen
Auròs	Auros
Comtat d'Antrim	Antrim (grevskap)
Art islàmic	Islamsk kunst
Vardar	Vardar
Filó d'Alexandria	Filon
Keith Richards	Keith Richards
Matrix Reloaded	The Matrix Reloaded
Missoula	Missoula
Salut pública	Folkehelse
Bandera d'Anguilla	Anguillas flagg
Any tròpic	Tropisk år
Bec de serra mitjà	Siland
Balena franca pigmea	Dvergretthval
Ellora	Ellorahulene
SOAP	SOAP
Grup hemo	Heme
Llista del Patrimoni de la Humanitat d'Àfrica	Verdensarven i Afrika
Forces de van der Waals	Van der Waalske krefter
Guilin	Guilin
Eagles	Eagles
Dentina	Tannbein
Deliri	Vrangforestilling
Mausoleu de Humayun	Humayuns grav
Razgrad	Razgrad
Parc Nacional de Kakadu	Kakadu nasjonalpark
Clodomir	Clodomer
Estadi Olímpic d'Atenes	Olympiastadion (Athen)
Fussballclub Basel 1893	FC Basel
Dissociació química	Dissosiasjon (kjemi)
Poiquilotèrmia	Vekselvarm
Abomey	Abomey
Patrick Kluivert	Patrick Kluivert
Artaxerxes I de Pèrsia	Artaxerxes I av Persia
Genk	Genk
Wesley Snipes	Wesley Snipes
Karabük	Karabük
Leònides (pluja de meteorits)	Leonidene
Terengganu	Terengganu
Goethita	Goethitt
Zenòbia	Zenobia
Star Alliance	Star Alliance
Selangor	Selangor
François-Noël Babeuf	Gracchus Babeuf
Courbevoie	Courbevoie
Mauro Camoranesi	Mauro Camoranesi
Emacs	Emacs
Selecció de futbol de l'Aràbia Saudita	Saudi-Arabias herrelandslag i fotball
Economia planificada	Planøkonomi
Pànini	Pāṇini
Enki	Enki
Philip Glass	Philip Glass
Mg	MG
Leonid Kravtxuk	Leonid Kravtsjuk
Timbales	Pauke
Melvin Schwartz	Melvin Schwartz
El·lipsi	Ellipse (retorikk)
Islamisme polític	Islamisme
Ayerbe	Ayerbe
Neopaganisme	Nyhedendom
Llista de faraons	Liste over faraoer
Marvin Gaye	Marvin Gaye
Peter Carl Fabergé	Peter Carl Fabergé
Nervi trigemin	Nervus trigeminus
Pont del Gard	Pont du Gard
Luigi Boccherini	Luigi Boccherini
Capa d'aplicació	Applikasjonslaget
Salgótarján	Salgótarján
Volta	Hvelv (arkitektur)
Planta biennal	Toårige planter
Antonio José de Sucre	Antonio José de Sucre
Doom	DOOM
Anaerobi	Anaerobe organismer
Diagonal	Diagonal
OS/2	OS/2
Front (meteorologia)	Værfront
Vigdís Finnbogadóttir	Vigdís Finnbogadóttir
Patrimoni gènic	Genbasseng
Arthur Harden	Arthur Harden
Caprí	Sauer og geiter
Marcantiofití	Levermoser
David Copperfield	David Copperfield (roman)
Endocitosi	Endocytose
Bàsquet als Jocs Olímpics d'estiu de 2008	Basketball under Sommer-OL 2008
Ritual	Rituale
Argos (fill d'Arèstor)	Argos Panoptes
Província de Mahiliou	Mahiljow voblast
John Arne Riise	John Arne Riise
Premis Oscar 2009	Den 82. Oscar-utdelingen
William Randal Cremer	Randal Cremer
Final Fantasy	Final Fantasy
Dècada del 1460	1460-årene
Guernica	Gernika
Censor romà	Censor
Metropolità	Metropolitt
Turbina de vapor	Dampturbin
Fes (lligadura)	Fess (hodeplagg)
Hercegovina	Hercegovina
Butlla	Pavelig bulle
Mandril	Mandrill
Bel·lerofont	Bellerofon
Alícia al país de les meravelles (pel·lícula de 1951)	Alice i Eventyrland (1951)
Sensor CCD	CCD
Palau Ducal	Dogepalasset
Festival de Cinema de Sundance	Sundance filmfestival
Titella	Marionett
Chicago (pel·lícula)	Chicago (film)
Gheorghe Hagi	Gheorghe Hagi
Jennifer Jones	Jennifer Jones
Emirat	Emirat
SHF	Superhøy frekvens
Argos (Argòlida)	Argos
Aberdeenshire	Aberdeenshire
Alps Dinàrics	De dinariske alper
Guanzhong	Guanzhong
Escut de la Unió Soviètica	Sovjetunionens riksvåpen
Operació Horta	Operasjon Market Garden
Dyskobolia Grodzisk Wielkopolski	Dyskobolia Grodzisk Wielkopolski
The Game	Game (musiker)
John Knox	John Knox
Planta suculenta	Sukkulent
Atletisme als Jocs Olímpics d'estiu de 2008	Friidrett under Sommer-OL 2008
Districte del Nord (Israel)	Norddistriktet
Unió Europea Occidental	Den vesteuropeiske union
Nick Clegg	Nick Clegg
Óssip Mandelxtam	Osip Mandelstam
Gametòfit	Gametofytt
Comtat de Lääne-Viru	Lääne-Viru fylke
Llista de reis de Noruega	Liste over Norges monarker
Futbol als Jocs Olímpics d'estiu de 2012	Fotball under Sommer-OL 2012
Westminster (Ciutat de Westminster)	Westminster
Glàndula mamària	Melkekjertel
Interval musical	Intervall (musikk)
Comtat d'Ida-Viru	Ida-Viru fylke
Feltre	Filt
Whitesnake	Whitesnake
Comunitat Econòmica dels Estats d’Àfrica Central	De sentralafrikanske staters økonomiske fellesskap
Cariotip	Karyotype
Comtat de Lääne	Lääne fylke
Ulcinj	Ulcinj
Píteas	Pytheas fra Massalia
Copèpode	Hoppekreps
Comtat de Jõgeva	Jõgeva fylke
Inuit	Inuitter
Franco Baresi	Franco Baresi
Tughra	Tugra
Nicolaas Bloembergen	Nicolaas Bloembergen
Antony Hewish	Antony Hewish
Gorillaz	Gorillaz
Jocs Centreamericans i del Carib	Sentralamerikanske og karibiske leker
Polímetre	Multimeter
Robert B. Laughlin	Robert B. Laughlin
Flagel	Flagell
Terra de la Reina Maud	Dronning Maud Land
Sligo	Sligo
Cromosfera	Kromosfæren
Materialisme històric	Historisk materialisme
Cienfuegos	Cienfuegos
Joventut	Ungdom
Nutació	Nutasjon
Sankt Jakob-Park	St. Jakob-Park
Adenosina	Adenosin
Heparina	Heparin
Ciclotrimetilentrinitramina	Heksogen
Townsville	Townsville (Queensland)
Auxina	Auxin
Províncies Unides de l'Amèrica Central	Den mellomamerikanske føderasjon
Sistema d'Integració Centreamericana	Det sentralamerikanske integrasjonssystemet
Guerra de Kosovo	Kosovokrigen
Ona gravitatòria	Gravitasjonsbølge
Campionat del món d'escacs	VM i sjakk
Tecnocràcia	Teknokrati
El·lipsoide	Ellipsoide
Tassili n'Ajjer	Tassili n'Ajjer
Fight Club	Fight Club (film)
Jamie Oliver	Jamie Oliver
Pluviòmetre	Nedbørmåler
Patmos	Patmos
Roxana	Roxana
Espai de Hilbert	Hilbertrom
Catabolisme	Katabolisme
Margarida d'Angulema	Margrete av Navarra
Ciutadella de la dinastia Ho	Ho-dynastiets citadell
Île de la Cité	Île de la Cité
Bandera de les Bermudes	Bermudas flagg
Compost inorgànic	Uorganisk forbindelse
Província de Luanda	Luanda (provins)
Tetrahidrocannabinol	Tetrahydrocannabinol
Sinècdoque	Synekdoke
Oscil·lador harmònic	Harmonisk oscillator
Muhammad Ayub Khan	Ayub Khan
Joe Cocker	Joe Cocker
Òxid de zinc	Sinkhvitt
Universitat Carnegie Mellon	Carnegie Mellon University
Aracne	Arachne (mytologi)
Gamarús dels Urals	Slagugle
Falsa alarma	Hoax
Escut de Malta	Maltas riksvåpen
Ningú no és perfecte	Noen har det hett
Tipus de dada	Datatype
Minato (Tòquio)	Minato
Joan Duns Escot	John Duns Scotus
Hardecanut	Hardeknut
Allen Iverson	Allen Iverson
Gray (unitat)	Gray (enhet)
Inversió tèrmica	Temperaturinversjon
Carí	Carinus
Escriptura Lineal B	Linear B
Dioscurs	Dioskurene
Dècada del 1470	1470-årene
Estació meteorològica	Meteorologisk stasjon
Programa Pioneer	Pioneer-programmet
Cos (matemàtiques)	Kropp (matematikk)
Tongeren	Tongeren
Gastròtric	Gastrotricher
Benvenuto Cellini	Benvenuto Cellini
La Roche-sur-Yon	La Roche-sur-Yon
Vapor d'aigua	Vanndamp
Lletra de canvi	Gjeldsbrev
Marduk	Marduk
Exèrcit d'en Dumbledore	Humlesnurr-legionen
Badia de Hạ Long	Hạ Long-bukten
Escut de Suècia	Sveriges riksvåpen
Governació de Salah ad-Din	Salah ad Din
Flux turbulent	Turbulens
The Little Mermaid (pel·lícula de 1989)	Den lille havfruen (film)
Lèucada	Lefkada
Talent	Talent (myntenhet)
Nervi vague	Nervus vagus
Jigoro Kano	Jigorō Kanō
Gilberto Silva	Gilberto Silva
Spider-Man 2	Spider-Man 2
Anticlinal	Antiklinal
Renzo Piano	Renzo Piano
Fotogrametria	Fotogrammetri
Bruce Dickinson	Bruce Dickinson
Larry Bird	Larry Bird
Van Halen	Van Halen
Carotè	Karoten
Transmissor	Radiosender
Estreptococ	Streptokokker
Zoë Saldaña	Zoë Saldaña
Campionat del Món d'hoquei gel masculí	Verdensmesterskapet i ishockey
Edmund el Magnífic	Edmund I av England
File Allocation Table	FAT
Iorubes	Joruba (folkegruppe)
Jackson	Jackson
Plat (instrument musical)	Cymbal
Harar	Harar
Sintra	Sintra
Duna (novel·la)	Sand (roman)
Associació Internacional per a la Consciència de Krixna	ISKCON
Somatotropina	Veksthormon
Míkonos	Mykonos
Douglas DC-3	Douglas DC-3
Asterisc	Asterisk
Unitat perifèrica de Lacònia	Lakonia
Waziristan	Waziristan
Mètode Montessori	Montessoriskole
Partit Laborista (Noruega)	Arbeiderpartiet
Philip Pullman	Philip Pullman
Fugida de cervells	Hjerneflukt
Inno e Marcia Pontificale	Marche Pontificale
Carbonat de sodi	Natriumkarbonat
Aga Buriàtia	Agino-Burjatsk
Banc Central de l'Azerbaidjan	Aserbajdsjans nasjonalbank
Adam Lambert	Adam Lambert
Clyde William Tombaugh	Clyde Tombaugh
Halterofília als Jocs Olímpics d'estiu de 2012	Vektløfting under Sommer-OL 2012
Horsens	Horsens
L'anell del nibelung	Nibelungenringen
Norsk Rikskringkasting	NRK
Cebrià de Cartago	Cyprianus
John Paul Jones	John Paul Jones
Control numèric per ordinador	Computer Numerical Control
Richard Wright	Richard Wright (musiker)
Eastern European Time	Østeuropeisk tid
Necessitat	Behov
Pepsina	Pepsin
Metro de Praga	Prahas metro
Carpe diem	Carpe diem
Luna Lovegood	Lulla Lunekjær
Mufló	Muflon
Claude-Adrien Helvétius	Claude Adrien Helvétius
Estator	Stator
Acords de Dayton	Daytonavtalen
Pensament silvestre	Stemorsblomst
Al·lelopatia	Allelopati
Al·leluia	Halleluja
Calàbria grossa	Islom
Orde Sobirana i Militar de Malta	Malteserordenen
Bantustan	Bantustan
Neville Longbottom	Nilus Langballe
Apià	Appian
Joseph Barbera	Joseph Barbera
Lingüística diacrònica	Historisk lingvistikk
Ian McEwan	Ian McEwan
Ionització	Ionisering
Rachel McAdams	Rachel McAdams
Joan de la Creu	Johannes av Korset
Grup dels Cinc	De Fem
Teorema del límit central	Sentralgrenseteoremet
Dao	Tao
Hurrites	Hurritter
Galàxia irregular	Irregulær galakse
Acadèmia de la Llengua Hebrea	Akademiet for hebraisk språk
Tribunícia	Tribun
Catamarà	Katamaran
Província de Gorj	Gorj
Òfset	Offsettrykk
FPGA	FPGA
TsAGI	TsAGI
Magnetar	Magnetar
Depressió (geologia)	Depresjon (geologi)
Moodle	Moodle
Epaminondes	Epaminondas
Galàxia nana	Dverggalakse
Premis Oscar 2008	Den 81. Oscar-utdelingen
Terra rara	Sjeldne jordarter
Punt de Lagrange	Lagrange-punkt
Tauró camús	Oksehai
Energia d'activació	Aktiveringsenergi
Ruby on Rails	Ruby on Rails
Dècada del 1480	1480-årene
Willard Frank Libby	Willard Libby
Perennifoli	Eviggrønn
Escanyapolls	Eikehjort
Henry Way Kendall	Henry Way Kendall
Henrik Dam	Henrik Dam
Escriptura japonesa	Japansk skrift
Arthur Leonard Schawlow	Arthur Leonard Schawlow
Esperança	Håp
Cérvol mesquer comú	Moskushjort
Wollemia	Wollemiaslekten
Apofis (mitologia)	Apep
Khanat de Sibèria	Sibir-khanatet
Craig Bellamy	Craig Bellamy
Sika	Sikahjort
Revolució Xinhai	Xinhairevolusjonen
Felicity Huffman	Felicity Huffman
Khonsu	Khonsu
Christopher Plummer	Christopher Plummer
Valor propi, vector propi i espai propi	Egenvektor
Memento	Memento
Berner Sport Club Young Boys	BSC Young Boys
Alum	Alun
Endorfina	Endorfin
Petita Edat de Gel	Den lille istid
Fondue	Fondue
News of the World (periòdic)	News of the World (avis)
S/2000 J 11	S/2000 J 11
Discurs	Diskurs
Costa Concordia	«Costa Concordia»
Alcmena	Alkmene
Prunus	Kirsebærslekten
Desigualtat de Cauchy-Schwarz	Cauchy–Schwarz’ ulikhet
Regió de Moràvia i Silèsia	Mähren-Schlesien (region)
Calendari hindú	Hindukalender
Sociobiologia	Sosiobiologi
Spútnik 2	Sputnik 2
Regla de L'Hôpital	L'Hôpitals regel
Negació lògica	Negasjon
Royal Standard de Liège	Standard Liège
Pontos (mitologia)	Pontos (mytologi)
Malaltia de Huntington	Huntingtons sykdom
Metis (filla d'Oceà)	Metis
Eadweard Muybridge	Eadweard Muybridge
Fusell de franctirador	Skarpskyttergevær
Illes Esparses de l'Oceà Índic	Îles éparses
Vicente Fox Quesada	Vicente Fox
Funció gamma	Gammafunksjonen
Un chien andalou	Den andalusiske hund
Matt Bellamy	Matthew Bellamy
Sedan (automòbil)	Sedan (bil)
As	AS
Factura	Faktura
Dànae	Danaë
Mikkeli	Sankt Michel
Island Records	Island Records
Love Actually	Love Actually
OCLC	Online Computer Library Center
Annette Bening	Annette Bening
Rui Manuel César Costa	Rui Costa
New York Giants	New York Giants
Aaron Klug	Aaron Klug
Barbara Bush	Barbara Bush
Bette Midler	Bette Midler
Disseny web	Webdesign
Rubber Soul	Rubber Soul
Platoon	Platoon
Bandera dels Estats Federats de Micronèsia	Mikronesiaføderasjonens flagg
Jerzy Henryk Dudek	Jerzy Dudek
Multiculturalisme	Multikulturalisme
Sistema antibloqueig de rodes	Blokkeringsfrie bremser
Ègida	Aigis
Regle de càlcul	Regnestav
Extintor	Brannslokningsapparat
Gat pescador	Fiskerkatt
Comtat de Fermanagh	Fermanagh (grevskap)
Capità Amèrica	Captain America
Comtat de Down	Down (grevskap)
PC	PC
Aragua	Aragua
Ona de xoc	Sjokkbølge
Província de Sălaj	Sălaj (fylke)
Vampir (ratpenat)	Vampyrflaggermus
Massís Septentrional	Sentralmassivet
Claude Cohen-Tannoudji	Claude Cohen-Tannoudji
Dinar libi	Libysk dinar
Col·lèmbol	Spretthaler
Província de Harghita	Harghita
Teories de la conspiració dels allunatges del Programa Apollo	Konspirasjonsteorier rundt månelandingene
Província de Mureș	Mureș (fylke)
Batalles del Marne	Slaget ved Marne
Dècada del 1490	1490-årene
Sashimi	Sashimi
Província Central (Zàmbia)	Central (Zambia)
Gustavo Kuerten	Gustavo Kuerten
Riolita	Ryolitt
Ilmenita	Ilmenitt
Xamil Bassàiev	Sjamil Basajev
James Rainwater	James Rainwater
Advanced Encryption Standard	Advanced Encryption Standard
Tribunal Suprem	Høyesterett
William Daniel Phillips	William Daniel Phillips
Conflicte del Darfur	Darfur-konflikten
Diagrama de Venn	Venn-diagram
Tríglif	Triglyf
1492: Conquest of Paradise	1492 - Erobringen av Paradis
Martin Ryle	Martin Ryle
Philip Warren Anderson	Philip Warren Anderson
Bany	Bad
Siméon Denis Poisson	Siméon Denis Poisson
Smederevo	Smederevo
Skylab	Skylab
Neretva	Neretva
Estadi Central de Iekaterinburg	Sentral Stadion (Jekaterinburg)
Membre (anatomia)	Lem (kroppsdel)
Ronnie O'Sullivan	Ronnie O'Sullivan
Escut de Bangla Desh	Bangladeshs riksvåpen
Famke Janssen	Famke Janssen
Agència Espacial Federal Russa	Roskosmos
Rijksmuseum	Rijksmuseum
Cardiopatia	Hjertesykdom
Escala major natural	Dur
Diumenge Sagnant (1972)	Bloody Sunday (1972)
Bora (vent)	Boravind
Ciutat d'Autun	Autun
Pétah Tiqvà	Petah Tiqwa
Histèresi	Hysterese
Concili Vaticà I	Første Vatikankonsil
Gasela	Gaseller
Permanganat de potassi	Kaliumpermanganat
Bota	Støvler
Dessalinització	Avsalting
Cortisol	Kortisol
Història de Turquia	Tyrkias historie
Carbó actiu	Aktivt kull
Guerra de Broma	Phony War
Víktor Txernomirdin	Viktor Tsjernomyrdin
Alfred Moisiu	Alfred Moisiu
Henri La Fontaine	Henri La Fontaine
Fier	Fier
Amoni	Ammonium
Seven	Se7en
Focus (òptica)	Fokus (optikk)
Ice Age 2: El desglaç	Istid 2
Jerarquia de Chomsky	Chomskyhierarkiet
Aerolínia de baix cost	Lavprisflyselskap
Club Brugge Koninklijke Voetbalvereniging	Club Brugge
Carlos Alberto Parreira	Carlos Alberto Parreira
Quatre Tigres Asiàtics	De fire tigrene
Cadel Evans	Cadel Evans
Anzoátegui	Anzoátegui
Michael Johnson	Michael Johnson (friidrettsutøver)
Beríngia	Beringlandbrua
Drassana	Skipsverft
Maximiliano Rodríguez	Maximiliano Rodríguez
Regió de Vysočina	Vysočina (region)
Anton Webern	Anton Webern
Estigma (religió)	Stigmata
TS Wisła Kraków	Wisła Kraków
Jean Bodin	Jean Bodin
Clima àrid	Tørt klima
Abha	Abha
Viet Minh	Viet Minh
Dòlar de Singapur	Singaporsk dollar
Amadeus	Amadeus (film)
Província de Transvaal	Transvaal
LoveGame	LoveGame
Frascati	Frascati
Transsexualitat	Transkjønnethet
Estats croats	Korsfarerstat
Jim Parsons	Jim Parsons
Dassault Rafale	Dassault Rafale
Orador de Glana	Oradour-sur-Glane
Ruleta	Rulett
Selecció de futbol d'Irlanda del Nord	Nord-Irlands herrelandslag i fotball
Aracnologia	Araknologi
Principi zero de la termodinàmica	Termodynamikkens nullte lov
Merkava	Merkava
Ride the Lightning	Ride the Lightning
Nit polar	Polarnatt
Ibers	Iberere
Malacologia	Malakologi
Sissy Spacek	Sissy Spacek
Frontó (arquitectura)	Fronton
Anjelica Huston	Anjelica Huston
Carloman I	Karloman, sønn av Pipin den yngre
Carl Rogers	Carl Rogers
Valoració química	Titrering
Possessions espanyoles al Nord d'Àfrica	Plazas de soberanía
Peripheral Component Interconnect	PCI
María Estela Martínez de Perón	Isabel Martínez de Perón
Trakai	Trakai
Fredrik Bajer	Fredrik Bajer
Gary Becker	Gary Becker
Adrien-Marie Legendre	Adrien-Marie Legendre
Bufanda	Skjerf
Dylan Thomas	Dylan Thomas
Francis Galton	Francis Galton
Patricia Neal	Patricia Neal
Giuseppe Peano	Giuseppe Peano
Oclocràcia	Oklokrati
Vi de Porto	Portvin
Sarcasme	Sarkasme
Jim Henson	Jim Henson
Germànic Cèsar	Germanicus
Mr. & Mrs. Smith	Mr. & Mrs. Smith
Tecnologia de muntatge superficial	Overflatemontering
Felip VI d'Espanya	Felipe VI av Spania
Ilulissat	Ilulissat
Ambrose Bierce	Ambrose Bierce
Surf de vela	Brettseiling
Terratrèmol de Lisboa de 1755	Jordskjelvet i Lisboa
Salafisme	Salafisme
Springfield	Springfield
Ànguid	Stålormer
Manuel Zelaya	Manuel Zelaya
Província de Hrodna	Hrodna voblast
Liv Ullmann	Liv Ullmann
Província de Dolj	Dolj
15è districte de París	15. arrondissement
Corona feroesa	Færøysk krone
Paleoclimatologia	Paleoklimatologi
Eh, Eh (Nothing Else I Can Say)	Eh, Eh (Nothing Else I Can Say)
Província de Hunedoara	Hunedoara (fylke)
Cadastre	Matrikkel
Temperatura de Curie	Curiepunkt
Babel (pel·lícula)	Babel (film)
Província de Tulcea	Tulcea (fylke)
Generalíssim	Generalissimo
Seydou Keita	Seydou Keita
Conjunció lògica	Konjunksjon (logikk)
Illa d'Egina	Egina
Val Kilmer	Val Kilmer
Gascunya	Gascogne
Jungla	Jungel
Joseph Adam Jonas	Joe Jonas
Metàtesi (lingüística)	Metatese
Regió de Karlovy Vary	Karlovy Vary (region)
Rima assonant	Assonans
Mallerenga petita	Svartmeis
Comino	Comino
Transformers: Revenge of the Fallen	Transformers: De beseirede slår tilbake
Futbol'ny Klub BATE Borisov	FK BATE Borisov
Agàmid	Agamer
Lucrècia Borja	Lucrezia Borgia
Sean Bean	Sean Bean
Estil Imperi	Empire
Clara d'Assís	Klara av Assisi
Crató	Kraton
Sita	Sita
Tona (unitat)	Tonn
Rambouillet	Rambouillet
Jēkabpils	Jēkabpils
Levi Eshkol	Levi Eshkol
Oca índia	Stripegås
Saintes	Saintes (Charente-Maritime)
Tigre de Sumatra	Sumatratiger
Harvey Keitel	Harvey Keitel
Centrifugadora	Sentrifuge
James Milner	James Milner
Shunsuke Nakamura	Shunsuke Nakamura
Fabien Barthez	Fabien Barthez
Seta	Sète
Vélez de la Gomera	Peñón de Vélez de la Gomera
Alberto Aquilani	Alberto Aquilani
Tensioactiu	Surfaktant
Mussol menut	Spurveugle
Antocerotòpsida	Nålkapselmoser
Emile Heskey	Emile Heskey
Paisatge	Landskapsmaleri
Estat Bolívar	Bolívar (delstat)
Falluja	Fallujah
Estat de Miranda	Miranda (delstat)
Pluja d'idees	Idédugnad
Carabobo	Carabobo
Eduí el Bell	Edwy av England
Sulaymaniyya	Suleimania
Falla de San Andrés	San Andreas-forkastningen
Walt Disney Pictures	Walt Disney Pictures
Manuel I de Portugal	Manuel I av Portugal
Síverski Donets	Donets
Cleptocràcia	Kleptokrati
Bretxa	Breksje
Rotació de conreus	Vekselbruk
AZ Alkmaar	AZ Alkmaar
Primera Guerra de l'Opi	Første opiumkrig
Parell ordenat	Ordnede par
Partit de Centre	Senterpartiet (andre betydninger)
Terratrèmol de Shaanxi	Jordskjelvet i Shaanxi 1556
Bengo	Bengo
Gérard de Nerval	Gérard de Nerval
Llicència BSD	BSD-lisensen
Espinel·la	Spinell
Lakshmi Mittal	Lakshmi Mittal
Godavari	Godavari
Peatge	Bomvei
Geografia política	Politisk geografi
Regne Mitjà d'Egipte	Mellomriket i Egypt
To (lingüística)	Tonespråk
Pas de Khyber	Khyber
Ferenc Gyurcsány	Ferenc Gyurcsány
Massospondylus	Massospondylus
Alvèol	Alveol
LAMP	LAMP
Escala pentatònica	Pentatonisk skala
Pahang	Pahang
Portishead	Portishead
Vaga de fam	Sultestreik
Islandesos	Islendinger
Pitagòrics	Pytagoreerne
Ugarit	Ugarit
Sheikh Mujibur Rahman	Sheikh Mujibur Rahman
Nostra Senyora de París	Ringeren i Notre Dame
Sacarina	Sakkarin
Banc Internacional per a la Reconstrucció i el Desenvolupament	Den internasjonale bank for gjenoppbygging og utvikling
Enllaç metàl·lic	Metallbinding
Martinet ros	Topphegre
Agde	Agde
Selecció de futbol d'Israel	Israels herrelandslag i fotball
Francis Poulenc	Francis Poulenc
Mausoleu de Lenin	Leninmausoleet
Asnières-sur-Seine	Asnières-sur-Seine
Zeppelin (desambiguació)	Zeppelin
Lama	Lama (buddhismen)
Domenico Ghirlandaio	Domenico Ghirlandaio
